"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.64",,"MITF (FI) SOX10","false",,"MITF (FI) SOX10"
"FI","activated by","<-","1.0",,"CALM3 (FI) JAK1","false",,"CALM3 (FI) JAK1"
"FI","expression regulated by","<-","1.0",,"ATP8B1 (FI) JUN","false",,"ATP8B1 (FI) JUN"
"FI","expression regulates","->","1.0",,"JUN (FI) TCIRG1","false",,"JUN (FI) TCIRG1"
"FI","complex; input","-","1.0",,"KAT5 (FI) WRN","false",,"KAT5 (FI) WRN"
"FI","predicted","-","0.64",,"ATP10B (FI) TMEM30A","false",,"ATP10B (FI) TMEM30A"
"FI","expression regulates","->","1.0",,"JUN (FI) LAMA4","false",,"JUN (FI) LAMA4"
"FI","predicted","-","0.64",,"JUN (FI) SOX10","false",,"JUN (FI) SOX10"
"FI","activate","->","1.0",,"JAK1 (FI) MITF","false",,"JAK1 (FI) MITF"
"FI","expression regulated by","<-","1.0",,"DENND1A (FI) JUN","false",,"DENND1A (FI) JUN"
"FI","predicted","-","0.64",,"RHEB (FI) TRIM63","false",,"RHEB (FI) TRIM63"
"FI","reaction","-","1.0",,"CALM3 (FI) MYL10","false",,"CALM3 (FI) MYL10"
"FI","expression regulates","->","1.0",,"JUN (FI) MTF2","false",,"JUN (FI) MTF2"
"FI","predicted","-","0.64",,"HNRNPD (FI) IGF2BP2","false",,"HNRNPD (FI) IGF2BP2"
"FI","predicted","-","0.64",,"KAT5 (FI) SOX10","false",,"KAT5 (FI) SOX10"
"FI","expression regulates","->","1.0",,"JUN (FI) NFE2","false",,"JUN (FI) NFE2"
"FI","predicted","-","0.63",,"MPZ (FI) NFASC","false",,"MPZ (FI) NFASC"
"FI","complex; input","-","1.0",,"CALM3 (FI) MAP3K5","false",,"CALM3 (FI) MAP3K5"
"FI","complex","-","1.0",,"MITF (FI) NCOA3","false",,"MITF (FI) NCOA3"
"FI","expression regulated by","<-","1.0",,"KAT5 (FI) NFE2","false",,"KAT5 (FI) NFE2"
"FI","predicted","-","0.64",,"JAK1 (FI) MAP3K5","false",,"JAK1 (FI) MAP3K5"
"FI","predicted","-","0.64",,"HNRNPD (FI) NCOA3","false",,"HNRNPD (FI) NCOA3"
"FI","predicted","-","0.64",,"ATP8B1 (FI) TMEM30A","false",,"ATP8B1 (FI) TMEM30A"
"FI","complex; input","-","1.0",,"RHEB (FI) TCIRG1","false",,"RHEB (FI) TCIRG1"
"FI","PPrel: binding/association; complex","-","1.0",,"JUN (FI) NCOA3","false",,"JUN (FI) NCOA3"
"FI","predicted","-","0.64",,"MPZ (FI) SOX10","false",,"MPZ (FI) SOX10"
"FI","complex","-","1.0",,"JARID2 (FI) MTF2","false",,"JARID2 (FI) MTF2"
