"commonName","isLinker","module","name","nodeLabel","nodeToolTip","nodeType","sampleNumber","samples","selected","shared name"
"MITF","false",,"MITF","MITF","MITF","Gene",,,"false","MITF"
"SOX10","false",,"SOX10","SOX10","SOX10","Gene",,,"false","SOX10"
"JAK1","true",,"JAK1","JAK1","JAK1","Gene",,,"true","JAK1"
"CALM3","true",,"CALM3","CALM3","CALM3","Gene",,,"true","CALM3"
"JUN","true",,"JUN","JUN","JUN","Gene",,,"true","JUN"
"ATP8B1","true",,"ATP8B1","ATP8B1","ATP8B1","Gene",,,"true","ATP8B1"
"TCIRG1","false",,"TCIRG1","TCIRG1","TCIRG1","Gene",,,"false","TCIRG1"
"WRN","false",,"WRN","WRN","WRN","Gene",,,"false","WRN"
"KAT5","true",,"KAT5","KAT5","KAT5","Gene",,,"true","KAT5"
"ATP10B","false",,"ATP10B","ATP10B","ATP10B","Gene",,,"false","ATP10B"
"TMEM30A","true",,"TMEM30A","TMEM30A","TMEM30A","Gene",,,"true","TMEM30A"
"LAMA4","false",,"LAMA4","LAMA4","LAMA4","Gene",,,"false","LAMA4"
"DENND1A","false",,"DENND1A","DENND1A","DENND1A","Gene",,,"false","DENND1A"
"TRIM63","false",,"TRIM63","TRIM63","TRIM63","Gene",,,"false","TRIM63"
"RHEB","true",,"RHEB","RHEB","RHEB","Gene",,,"true","RHEB"
"MYL10","false",,"MYL10","MYL10","MYL10","Gene",,,"false","MYL10"
"MTF2","true",,"MTF2","MTF2","MTF2","Gene",,,"true","MTF2"
"IGF2BP2","false",,"IGF2BP2","IGF2BP2","IGF2BP2","Gene",,,"false","IGF2BP2"
"HNRNPD","true",,"HNRNPD","HNRNPD","HNRNPD","Gene",,,"true","HNRNPD"
"NFE2","false",,"NFE2","NFE2","NFE2","Gene",,,"false","NFE2"
"MPZ","true",,"MPZ","MPZ","MPZ","Gene",,,"true","MPZ"
"NFASC","false",,"NFASC","NFASC","NFASC","Gene",,,"false","NFASC"
"MAP3K5","false",,"MAP3K5","MAP3K5","MAP3K5","Gene",,,"false","MAP3K5"
"NCOA3","true",,"NCOA3","NCOA3","NCOA3","Gene",,,"true","NCOA3"
"JARID2","false",,"JARID2","JARID2","JARID2","Gene",,,"false","JARID2"
