"commonName","isLinker","module","name","nodeLabel","nodeToolTip","nodeType","sampleNumber","samples","selected","shared name"
"HERC6","false",,"HERC6","HERC6","HERC6","Gene",,"","true","HERC6"
"HERC5","true",,"HERC5","HERC5","HERC5","Gene",,"","false","HERC5"
"MAPK10","true",,"MAPK10","MAPK10","MAPK10","Gene",,"","false","MAPK10"
"TEP1","false",,"TEP1","TEP1","TEP1","Gene",,"","true","TEP1"
"TTC7B","false",,"TTC7B","TTC7B","TTC7B","Gene",,"","true","TTC7B"
"PI4KA","true",,"PI4KA","PI4KA","PI4KA","Gene",,"","false","PI4KA"
"GK2","true",,"GK2","GK2","GK2","Gene",,"","false","GK2"
"SOX10","false",,"SOX10","SOX10","SOX10","Gene",,"","true","SOX10"
"STAT1","true",,"STAT1","STAT1","STAT1","Gene",,"","false","STAT1"
"MNAT1","true",,"MNAT1","MNAT1","MNAT1","Gene",,"","false","MNAT1"
"ROBO1","false",,"ROBO1","ROBO1","ROBO1","Gene",,"","true","ROBO1"
"USP33","true",,"USP33","USP33","USP33","Gene",,"","false","USP33"
"LMO2","false",,"LMO2","LMO2","LMO2","Gene",,"","true","LMO2"
"JUN","true",,"JUN","JUN","JUN","Gene",,"","false","JUN"
"MAPK3","true",,"MAPK3","MAPK3","MAPK3","Gene",,"","false","MAPK3"
"TRPM4","false",,"TRPM4","TRPM4","TRPM4","Gene",,"","true","TRPM4"
"S100B","true",,"S100B","S100B","S100B","Gene",,"","false","S100B"
"HSPA2","false",,"HSPA2","HSPA2","HSPA2","Gene",,"","true","HSPA2"
"HSP90AA1","true",,"HSP90AA1","HSP90AA1","HSP90AA1","Gene",,"","false","HSP90AA1"
"TP53","true",,"TP53","TP53","TP53","Gene",,"","false","TP53"
"BID","false",,"BID","BID","BID","Gene",,"","true","BID"
