"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","GErel: expression by","<-","1.0",,"BID (FI) TP53","false",,"BID (FI) TP53"
"FI","predicted","-","0.6",,"HSP90AA1 (FI) HSPA2","false",,"HSP90AA1 (FI) HSPA2"
"FI","predicted","-","0.64",,"S100B (FI) TRPM4","false",,"S100B (FI) TRPM4"
"FI","complex; input","-","1.0",,"MAPK3 (FI) S100B","false",,"MAPK3 (FI) S100B"
"FI","expression regulated by","<-","1.0",,"S100B (FI) TP53","false",,"S100B (FI) TP53"
"FI","expression regulates","->","1.0",,"JUN (FI) LMO2","false",,"JUN (FI) LMO2"
"FI","catalyzed by","<-","1.0",,"ROBO1 (FI) USP33","false",,"ROBO1 (FI) USP33"
"FI","predicted","-","0.58",,"HSPA2 (FI) MNAT1","false",,"HSPA2 (FI) MNAT1"
"FI","predicted","-","0.64",,"HSP90AA1 (FI) TP53","false",,"HSP90AA1 (FI) TP53"
"FI","expression regulated by","<-","1.0",,"JUN (FI) STAT1","false",,"JUN (FI) STAT1"
"FI","predicted","-","0.64",,"JUN (FI) SOX10","false",,"JUN (FI) SOX10"
"FI","catalyzed by","<-","1.0",,"HSP90AA1 (FI) MAPK3","false",,"HSP90AA1 (FI) MAPK3"
"FI","GErel: expression by; PPrel: activated by; PPrel: activated by, phosphorylation; PPrel: activated, indirect effect; PPrel: phosphorylated by; activated by; catalyzed by; reaction","<-","1.0",,"JUN (FI) MAPK3","false",,"JUN (FI) MAPK3"
"FI","expression regulates","->","1.0",,"STAT1 (FI) TP53","false",,"STAT1 (FI) TP53"
"FI","predicted","-","0.6",,"GK2 (FI) PI4KA","false",,"GK2 (FI) PI4KA"
"FI","PPrel: activation, phosphorylation","->","1.0",,"MAPK3 (FI) TP53","false",,"MAPK3 (FI) TP53"
"FI","predicted","-","0.64",,"PI4KA (FI) TTC7B","false",,"PI4KA (FI) TTC7B"
"FI","reaction","-","1.0",,"MAPK3 (FI) TEP1","false",,"MAPK3 (FI) TEP1"
"FI","PPrel: activation; PPrel: phosphorylation","->","1.0",,"MAPK10 (FI) TP53","false",,"MAPK10 (FI) TP53"
"FI","predicted","-","0.69",,"HSP90AA1 (FI) USP33","false",,"HSP90AA1 (FI) USP33"
"FI","PPrel: inhibition","-|","1.0",,"HSPA2 (FI) MAPK10","false",,"HSPA2 (FI) MAPK10"
"FI","GErel: expression; activated by; complex; expression regulates; inhibite; input; reaction","<-","1.0",,"JUN (FI) TP53","false",,"JUN (FI) TP53"
"FI","predicted","-","0.64",,"LMO2 (FI) STAT1","false",,"LMO2 (FI) STAT1"
"FI","activated by","<-","1.0",,"LMO2 (FI) MNAT1","false",,"LMO2 (FI) MNAT1"
"FI","PPrel: activated by","<-","1.0",,"BID (FI) MAPK10","false",,"BID (FI) MAPK10"
"FI","PPrel: activated by; PPrel: activated by, phosphorylation; PPrel: activated, indirect effect; PPrel: indirect effect; PPrel: phosphorylated by; activated by; catalyzed by; predicted","<-","1.0",,"JUN (FI) MAPK10","false",,"JUN (FI) MAPK10"
"FI","PPrel: activation, phosphorylation; activated by; reaction","<->","1.0",,"MAPK3 (FI) STAT1","false",,"MAPK3 (FI) STAT1"
"FI","catalyze; catalyzed by; input","<->","1.0",,"HERC5 (FI) HERC6","false",,"HERC5 (FI) HERC6"
"FI","catalyze","->","1.0",,"MAPK10 (FI) STAT1","false",,"MAPK10 (FI) STAT1"
"FI","expression regulated by","<-","1.0",,"HERC6 (FI) STAT1","false",,"HERC6 (FI) STAT1"
"FI","catalyze; input","->","1.0",,"HERC5 (FI) MAPK3","false",,"HERC5 (FI) MAPK3"
"FI","catalyze; input","->","1.0",,"HERC5 (FI) STAT1","false",,"HERC5 (FI) STAT1"
"FI","predicted","-","0.6",,"GK2 (FI) HSPA2","false",,"GK2 (FI) HSPA2"
