"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.64","","HELQ (FI) RAD51C","false","","HELQ (FI) RAD51C"
"FI","expression regulated by","<-","1.0","","AKIRIN1 (FI) EP300","false","","AKIRIN1 (FI) EP300"
"FI","activate","->","1.0","","CFL1 (FI) MRTFA","false","","CFL1 (FI) MRTFA"
"FI","predicted","-","0.64","","FBXO38 (FI) PDCD1","false","","FBXO38 (FI) PDCD1"
"FI","predicted","-","0.64","","RNPS1 (FI) SNIP1","false","","RNPS1 (FI) SNIP1"
"FI","predicted","-","0.69","","LRRFIP1 (FI) TCF7","false","","LRRFIP1 (FI) TCF7"
"FI","expression regulated by","<-","1.0","","KRBA2 (FI) STAT3","false","","KRBA2 (FI) STAT3"
"FI","catalyzed by","<-","1.0","","GNAT1 (FI) NMT2","false","","GNAT1 (FI) NMT2"
"FI","predicted","-","0.92","","GNAI2 (FI) GNAT1","false","","GNAI2 (FI) GNAT1"
"FI","GErel: expression by","<-","1.0","","CPT1B (FI) STAT3","false","","CPT1B (FI) STAT3"
"FI","GErel: expression by","<-","1.0","","CPT1B (FI) EP300","false","","CPT1B (FI) EP300"
"FI","predicted","-","0.62","","CPT1B (FI) TRIB2","false","","CPT1B (FI) TRIB2"
"FI","GErel: expression by; expression regulated by","<-","1.0","","MYC (FI) STAT3","false","","MYC (FI) STAT3"
"FI","expression regulates","->","1.0","","MYC (FI) TRIM37","false","","MYC (FI) TRIM37"
"FI","GErel: expression by","<-","1.0","","MYC (FI) TCF7","false","","MYC (FI) TCF7"
"FI","predicted","-","0.64","","MYC (FI) SNIP1","false","","MYC (FI) SNIP1"
"FI","expression regulates","->","1.0","","MYC (FI) PDCD1","false","","MYC (FI) PDCD1"
"FI","predicted","-","0.64","","HTT (FI) TOMM22","false","","HTT (FI) TOMM22"
"FI","catalyze; complex; input","->","1.0","","PHB2 (FI) SMDT1","false","","PHB2 (FI) SMDT1"
"FI","predicted","-","0.64","","KAT5 (FI) TRIM37","false","","KAT5 (FI) TRIM37"
"FI","complex; input","-","1.0","","KAT5 (FI) RAD51C","false","","KAT5 (FI) RAD51C"
"FI","predicted","-","0.64","","KAT5 (FI) SOX10","false","","KAT5 (FI) SOX10"
"FI","predicted","-","0.64","","KAT5 (FI) STAT3","false","","KAT5 (FI) STAT3"
"FI","complex; inhibited by; input","|-","1.0","","KAT5 (FI) MYC","false","","KAT5 (FI) MYC"
"FI","predicted","-","0.64","","AKT1 (FI) PHB2","false","","AKT1 (FI) PHB2"
"FI","catalyze","->","1.0","","AKT1 (FI) HTT","false","","AKT1 (FI) HTT"
"FI","catalyze","->","1.0","","AKT1 (FI) CTNNB1","false","","AKT1 (FI) CTNNB1"
"FI","activated by","<-","1.0","","AKT1 (FI) GNAI2","false","","AKT1 (FI) GNAI2"
"FI","activate","->","1.0","","AKT1 (FI) EP300","false","","AKT1 (FI) EP300"
"FI","predicted","-","0.97","","AKT1 (FI) TRIB2","false","","AKT1 (FI) TRIB2"
"FI","catalyzed by","<-","1.0","","AKT1 (FI) STAT3","false","","AKT1 (FI) STAT3"
"FI","catalyzed by","<-","1.0","","CHM (FI) TRAPPC6B","false","","CHM (FI) TRAPPC6B"
"FI","complex; input","-","1.0","","CTNNB1 (FI) KAT5","false","","CTNNB1 (FI) KAT5"
"FI","PPrel: inhibition; complex; inhibit; input","-|","1.0","","CTNNB1 (FI) EP300","false","","CTNNB1 (FI) EP300"
"FI","GErel: expression","->","1.0","","CTNNB1 (FI) MYC","false","","CTNNB1 (FI) MYC"
"FI","predicted","-","0.64","","CTNNB1 (FI) PHB2","false","","CTNNB1 (FI) PHB2"
"FI","complex; input","-","1.0","","CTNNB1 (FI) LRRFIP1","false","","CTNNB1 (FI) LRRFIP1"
"FI","predicted","-","0.99","","CTNNB1 (FI) HTT","false","","CTNNB1 (FI) HTT"
"FI","PPrel: activation; PPrel: binding/association; complex; input","->","1.0","","CTNNB1 (FI) TCF7","false","","CTNNB1 (FI) TCF7"
"FI","complex; input","-","1.0","","EP300 (FI) HTT","false","","EP300 (FI) HTT"
"FI","expression regulates","->","1.0","","EP300 (FI) TRIM37","false","","EP300 (FI) TRIM37"
"FI","complex; inhibited by; input; reaction","|-","1.0","","EP300 (FI) MYC","false","","EP300 (FI) MYC"
"FI","PPrel: activation; activate; catalyze; expression regulates","->","1.0","","EP300 (FI) STAT3","false","","EP300 (FI) STAT3"
"FI","predicted","-","0.63","","EP300 (FI) MRTFA","false","","EP300 (FI) MRTFA"
"FI","expression regulates","->","1.0","","EP300 (FI) TRAPPC6B","false","","EP300 (FI) TRAPPC6B"
"FI","reaction","-","1.0","","EP300 (FI) KAT5","false","","EP300 (FI) KAT5"
"FI","PPrel: binding/association","-","1.0","","EP300 (FI) TCF7","false","","EP300 (FI) TCF7"
"FI","activate; complex","->","1.0","","EP300 (FI) SNIP1","false","","EP300 (FI) SNIP1"
