"commonName","isLinker","module","name","nodeLabel","nodeToolTip","nodeType","sampleNumber","samples","selected","shared name"
"EP300","true",,"EP300","EP300","EP300","Gene",,"","false","EP300"
"SNIP1","true",,"SNIP1","SNIP1","SNIP1","Gene",,"","false","SNIP1"
"TCF7","true",,"TCF7","TCF7","TCF7","Gene",,"","false","TCF7"
"CTNNB1","true",,"CTNNB1","CTNNB1","CTNNB1","Gene",,"","false","CTNNB1"
"CHM","false",,"CHM","CHM","CHM","Gene",,"","true","CHM"
"TRAPPC6B","true",,"TRAPPC6B","TRAPPC6B","TRAPPC6B","Gene",,"","false","TRAPPC6B"
"AKT1","true",,"AKT1","AKT1","AKT1","Gene",,"","false","AKT1"
"STAT3","true",,"STAT3","STAT3","STAT3","Gene",,"","false","STAT3"
"KAT5","true",,"KAT5","KAT5","KAT5","Gene",,"","false","KAT5"
"PHB2","true",,"PHB2","PHB2","PHB2","Gene",,"","false","PHB2"
"SMDT1","false",,"SMDT1","SMDT1","SMDT1","Gene",,"","true","SMDT1"
"HTT","true",,"HTT","HTT","HTT","Gene",,"","false","HTT"
"MYC","true",,"MYC","MYC","MYC","Gene",,"","false","MYC"
"TRIB2","false",,"TRIB2","TRIB2","TRIB2","Gene",,"","true","TRIB2"
"CPT1B","true",,"CPT1B","CPT1B","CPT1B","Gene",,"","false","CPT1B"
"MRTFA","true",,"MRTFA","MRTFA","MRTFA","Gene",,"","false","MRTFA"
"GNAI2","true",,"GNAI2","GNAI2","GNAI2","Gene",,"","false","GNAI2"
"GNAT1","true",,"GNAT1","GNAT1","GNAT1","Gene",,"","false","GNAT1"
"NMT2","false",,"NMT2","NMT2","NMT2","Gene",,"","true","NMT2"
"KRBA2","false",,"KRBA2","KRBA2","KRBA2","Gene",,"","true","KRBA2"
"LRRFIP1","false",,"LRRFIP1","LRRFIP1","LRRFIP1","Gene",,"","true","LRRFIP1"
"RNPS1","false",,"RNPS1","RNPS1","RNPS1","Gene",,"","true","RNPS1"
"PDCD1","true",,"PDCD1","PDCD1","PDCD1","Gene",,"","false","PDCD1"
"FBXO38","false",,"FBXO38","FBXO38","FBXO38","Gene",,"","true","FBXO38"
"SOX10","false",,"SOX10","SOX10","SOX10","Gene",,"","true","SOX10"
"CFL1","false",,"CFL1","CFL1","CFL1","Gene",,"","true","CFL1"
"RAD51C","true",,"RAD51C","RAD51C","RAD51C","Gene",,"","false","RAD51C"
"TRIM37","false",,"TRIM37","TRIM37","TRIM37","Gene",,"","true","TRIM37"
"TOMM22","false",,"TOMM22","TOMM22","TOMM22","Gene",,"","true","TOMM22"
"AKIRIN1","false",,"AKIRIN1","AKIRIN1","AKIRIN1","Gene",,"","true","AKIRIN1"
"HELQ","false",,"HELQ","HELQ","HELQ","Gene",,"","true","HELQ"
