SYMBOL,seqnames,start,end,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,peak_name
SOX10,chr22,38380500,38380726,227,*,Promoter,22,38368319,38380539,12221,2,6663,uc003aun.1,0,ENSG00000100146,SOX10,SRY-box transcription factor 10,chr22:38380499-38380726
ZDHHC24,chr11,66313373,66313878,506,*,Promoter,11,66288553,66313671,25119,2,254359,uc009yrg.2,0,ENSG00000174165,ZDHHC24,zinc finger DHHC-type containing 24,chr11:66313372-66313878
AMD1,chr6,111195728,111196067,340,*,Promoter,6,111195987,111216913,20927,1,262,uc003puk.1,0,ENSG00000123505,AMD1,adenosylmethionine decarboxylase 1,chr6:111195727-111196067
CFL1,chr11,65625590,65625928,339,*,Promoter,11,65622285,65626101,3817,2,1072,uc001ofs.3,173,ENSG00000172757,CFL1,cofilin 1,chr11:65625589-65625928
CFL1,chr11,65626750,65627231,482,*,Promoter,11,65622285,65626886,4602,2,1072,uc001oft.3,0,ENSG00000172757,CFL1,cofilin 1,chr11:65626749-65627231
P3H2,chr3,189838548,189838939,392,*,Promoter,3,189674517,189838908,164392,2,55214,uc011bsk.2,0,ENSG00000090530,P3H2,prolyl 3-hydroxylase 2,chr3:189838547-189838939
P3H2,chr3,189840041,189840367,327,*,Promoter,3,189674517,189840226,165710,2,55214,uc003fsg.3,0,ENSG00000090530,P3H2,prolyl 3-hydroxylase 2,chr3:189840040-189840367
PPAT,chr4,57301619,57302600,982,*,Promoter,4,57259529,57301802,42274,2,5471,uc003hbr.3,0,ENSG00000128059,PPAT,phosphoribosyl pyrophosphate amidotransferase,chr4:57301618-57302600
FBXO38,chr5,147763252,147763746,495,*,Promoter,5,147763498,147822399,58902,1,81545,uc003lpg.2,0,ENSG00000145868,FBXO38,F-box protein 38,chr5:147763251-147763746
TRIB2,chr2,12856868,12857163,296,*,Promoter,2,12856998,12882858,25861,1,28951,uc002rbv.4,0,ENSG00000071575,TRIB2,tribbles pseudokinase 2,chr2:12856867-12857163
SMDT1,chr22,42475399,42476204,806,*,Promoter,22,42475695,42480288,4594,1,91689,uc003bca.3,0,ENSG00000183172,SMDT1,single-pass membrane protein with aspartate rich tail 1,chr22:42475398-42476204
NMT2,chr10,15210462,15211131,670,*,Promoter,10,15147771,15210695,62925,2,9397,uc001inz.1,0,ENSG00000152465,NMT2,N-myristoyltransferase 2,chr10:15210461-15211131
KRBA2,chr17,8279795,8280234,440,*,Promoter,17,8271973,8280029,8057,2,124751,uc002glg.1,0,ENSG00000184619,KRBA2,KRAB-A domain containing 2,chr17:8279794-8280234
HELQ,chr4,84376754,84377322,569,*,Promoter,4,84374305,84376944,2640,2,113510,uc003hoo.1,0,ENSG00000163312,HELQ,"helicase, POLQ like",chr4:84376753-84377322
TOMM22,chr22,39077729,39078199,471,*,Promoter,22,39077954,39080766,2813,1,56993,uc003awe.3,0,ENSG00000100216,TOMM22,translocase of outer mitochondrial membrane 22,chr22:39077728-39078199
TRIM37,chr17,57183996,57184537,542,*,Promoter,17,57060000,57184266,124267,2,4591,uc002iwy.4,0,ENSG00000108395,TRIM37,tripartite motif containing 37,chr17:57183995-57184537
CHM,chrX,85302267,85302841,575,*,Promoter,23,85116185,85302566,186382,2,1121,uc004eet.3,0,ENSG00000188419,CHM,CHM Rab escort protein,chrX:85302266-85302841
SLC50A1,chr1,155107499,155107940,442,*,Promoter,1,155108288,155111334,3047,1,55974,uc001fhj.4,-348,ENSG00000169241,SLC50A1,solute carrier family 50 member 1,chr1:155107498-155107940
SLC50A1,chr1,155108128,155108490,363,*,Promoter,1,155108288,155111334,3047,1,55974,uc001fhj.4,0,ENSG00000169241,SLC50A1,solute carrier family 50 member 1,chr1:155108127-155108490
SLC50A1,chr1,155108643,155108892,250,*,Promoter,1,155108288,155111334,3047,1,55974,uc001fhl.4,355,ENSG00000169241,SLC50A1,solute carrier family 50 member 1,chr1:155108642-155108892
AKIRIN1,chr1,39456601,39457082,482,*,Promoter,1,39456916,39471737,14822,1,79647,uc001ccw.3,0,ENSG00000174574,AKIRIN1,akirin 1,chr1:39456600-39457082
RNPS1,chr16,2317863,2318098,236,*,Promoter,16,2303100,2317858,14759,2,10921,uc002cpu.3,-5,ENSG00000205937,RNPS1,RNA binding protein with serine rich domain 1,chr16:2317862-2318098
RNPS1,chr16,2318192,2318516,325,*,Promoter,16,2303100,2318413,15314,2,10921,uc002cpw.3,0,ENSG00000205937,RNPS1,RNA binding protein with serine rich domain 1,chr16:2318191-2318516
LRRFIP1,chr2,238600341,238600972,632,*,Promoter,2,238600807,238674558,73752,1,9208,uc002vxd.3,0,ENSG00000124831,LRRFIP1,LRR binding FLII interacting protein 1,chr2:238600340-238600972
CRELD1,chr3,9974505,9974793,289,*,Promoter,3,9975524,9987097,11574,1,78987,uc003buh.3,-731,ENSG00000163703,CRELD1,cysteine rich with EGF like domains 1,chr3:9974504-9974793
CRELD1,chr3,9975125,9975694,570,*,Promoter,3,9975524,9987097,11574,1,78987,uc003buh.3,0,ENSG00000163703,CRELD1,cysteine rich with EGF like domains 1,chr3:9975124-9975694
CRELD1,chr3,9975699,9975898,200,*,Promoter,3,9975525,9987097,11573,1,78987,uc003bug.3,174,ENSG00000163703,CRELD1,cysteine rich with EGF like domains 1,chr3:9975698-9975898
