SYMBOL,seqnames,start,end,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,peak_name
SOX10,chr22,38380500,38380726,227,*,Promoter,22,38368319,38380539,12221,2,6663,uc003aun.1,0,ENSG00000100146,SOX10,SRY-box transcription factor 10,chr22:38380499-38380726
FAM184B,chr4,17782226,17782434,209,*,Promoter,4,17633709,17783135,149427,2,27146,uc003gpm.4,701,ENSG00000047662,FAM184B,family with sequence similarity 184 member B,chr4:17782225-17782434
BID,chr22,18256867,18257066,200,*,Promoter,22,18216906,18256808,39903,2,637,uc021wko.1,-59,ENSG00000015475,BID,BH3 interacting domain death agonist,chr22:18256866-18257066
MIR4799,chr4,148703331,148703583,253,*,Promoter,4,148703746,148703819,74,1,100616246,uc021xso.1,-163,ENSG00000264274,MIR4799,microRNA 4799,chr4:148703330-148703583
ROBO1,chr3,79067794,79068094,301,*,Promoter,3,78646388,79068609,422222,2,6091,uc003dqb.2,515,ENSG00000169855,ROBO1,roundabout guidance receptor 1,chr3:79067793-79068094
ROBO1,chr3,79068429,79068851,423,*,Promoter,3,78646388,79068609,422222,2,6091,uc003dqb.2,0,ENSG00000169855,ROBO1,roundabout guidance receptor 1,chr3:79068428-79068851
ROBO1,chr3,79816156,79816355,200,*,Promoter,3,78646388,79817059,1170672,2,6091,uc003dqe.2,704,ENSG00000169855,ROBO1,roundabout guidance receptor 1,chr3:79816155-79816355
PUS7L,chr12,44151977,44152176,200,*,Promoter,12,44122410,44152561,30152,2,83448,uc001rnq.5,385,ENSG00000129317,PUS7L,pseudouridine synthase 7 like,chr12:44151976-44152176
PUS7L,chr12,44152461,44152816,356,*,Promoter,12,44122410,44152561,30152,2,83448,uc001rnq.5,0,ENSG00000129317,PUS7L,pseudouridine synthase 7 like,chr12:44152460-44152816
LMO2,chr11,33890997,33891196,200,*,Promoter,11,33880123,33891132,11010,2,4005,uc001mvd.3,0,ENSG00000135363,LMO2,LIM domain only 2,chr11:33890996-33891196
LMO2,chr11,33913753,33913952,200,*,Promoter,11,33880123,33913836,33714,2,4005,uc010rem.2,0,ENSG00000135363,LMO2,LIM domain only 2,chr11:33913752-33913952
PXDC1,chr6,3752076,3752282,207,*,Promoter,6,3722836,3752246,29411,2,221749,uc003mvt.2,0,ENSG00000168994,PXDC1,PX domain containing 1,chr6:3752075-3752282
ATOH7,chr10,69991050,69991320,271,*,Promoter,10,69990352,69991870,1519,2,220202,uc001jnq.3,550,ENSG00000179774,ATOH7,atonal bHLH transcription factor 7,chr10:69991049-69991320
ADO,chr10,64564215,64564414,200,*,Promoter,10,64564516,64568239,3724,1,84890,uc001jmg.3,-102,ENSG00000181915,ADO,2-aminoethanethiol dioxygenase,chr10:64564214-64564414
ACSS3,chr12,81472659,81472858,200,*,Promoter,12,81471836,81649582,177747,1,79611,uc001szm.1,823,ENSG00000111058,ACSS3,acyl-CoA synthetase short chain family member 3,chr12:81472658-81472858
MIR632,chr17,30676878,30677397,520,*,Promoter,17,30677128,30677221,94,1,693217,uc021tuw.1,0,ENSG00000283774,MIR632,microRNA 632,chr17:30676877-30677397
HERC6,chr4,89300054,89300296,243,*,Promoter,4,89299891,89364249,64359,1,55008,uc011cdl.3,163,ENSG00000138642,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,chr4:89300053-89300296
HERC6,chr4,89300435,89300659,225,*,Promoter,4,89299891,89364249,64359,1,55008,uc011cdl.3,544,ENSG00000138642,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,chr4:89300434-89300659
TRPM4,chr19,49660863,49661172,310,*,Promoter,19,49661016,49715098,54083,1,54795,uc002pmw.3,0,ENSG00000130529,TRPM4,transient receptor potential cation channel subfamily M member 4,chr19:49660862-49661172
HSPA2,chr14,65006861,65007469,609,*,Promoter,14,65007186,65009954,2769,1,3306,uc001xhk.4,0,ENSG00000126803,HSPA2,heat shock protein family A (Hsp70) member 2,chr14:65006860-65007469
IGFN1,chr1,201160787,201161252,466,*,Promoter,1,201159953,201198080,38128,1,91156,uc001gwc.3,834,ENSG00000163395,IGFN1,immunoglobulin like and fibronectin type III domain containing 1,chr1:201160786-201161252
TTC7B,chr14,91281946,91282145,200,*,Promoter,14,91006932,91282761,275830,2,145567,uc001xyp.3,616,ENSG00000165914,TTC7B,tetratricopeptide repeat domain 7B,chr14:91281945-91282145
TTC7B,chr14,91282487,91282879,393,*,Promoter,14,91006932,91282761,275830,2,145567,uc001xyp.3,0,ENSG00000165914,TTC7B,tetratricopeptide repeat domain 7B,chr14:91282486-91282879
TTC17,chr11,43380144,43380721,578,*,Promoter,11,43380435,43468067,87633,1,55761,uc001mxh.3,0,ENSG00000052841,TTC17,tetratricopeptide repeat domain 17,chr11:43380143-43380721
VIT,chr2,36924668,36924867,200,*,Promoter,2,36923833,37041937,118105,1,5212,uc010ezw.3,835,ENSG00000205221,VIT,vitrin,chr2:36924667-36924867
TEP1,chr14,20881162,20881809,648,*,Promoter,14,20833826,20881579,47754,2,7011,uc001vxe.3,0,ENSG00000129566,TEP1,telomerase associated protein 1,chr14:20881161-20881809
