SYMBOL,seqnames,start,end,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,peak_name
SOX10,chr22,38380500,38380726,227,*,Promoter,22,38368319,38380539,12221,2,6663,uc003aun.1,0,ENSG00000100146,SOX10,SRY-box transcription factor 10,chr22:38380499-38380726
XPNPEP3,chr22,41252541,41253284,744,*,Promoter,22,41253085,41258785,5701,1,63929,uc003azf.2,0,ENSG00000196236,XPNPEP3,X-prolyl aminopeptidase 3,chr22:41252540-41253284
GSE1,chr16,85644187,85644451,265,*,Promoter,16,85645029,85709812,64784,1,23199,uc002fiw.3,-578,ENSG00000131149,GSE1,Gse1 coiled-coil protein,chr16:85644186-85644451
GSE1,chr16,85645904,85646166,263,*,Promoter,16,85646842,85709812,62971,1,23199,uc002fix.4,-676,ENSG00000131149,GSE1,Gse1 coiled-coil protein,chr16:85645903-85646166
GSE1,chr16,85646656,85646855,200,*,Promoter,16,85646842,85709812,62971,1,23199,uc002fix.4,0,ENSG00000131149,GSE1,Gse1 coiled-coil protein,chr16:85646655-85646855
SYT11,chr1,155830187,155830491,305,*,Promoter,1,155829260,155854990,25731,1,23208,uc010pgq.2,927,ENSG00000132718,SYT11,synaptotagmin 11,chr1:155830186-155830491
GBE1,chr3,81792303,81792804,502,*,Promoter,3,81584346,81792780,208435,2,2632,uc021xax.1,0,ENSG00000114480,GBE1,"1,4-alpha-glucan branching enzyme 1",chr3:81792302-81792804
GBE1,chr3,81793613,81793812,200,*,Promoter,3,81584346,81792780,208435,2,2632,uc021xax.1,-833,ENSG00000114480,GBE1,"1,4-alpha-glucan branching enzyme 1",chr3:81793612-81793812
GBE1,chr3,81810048,81810985,938,*,Promoter,3,81538850,81810950,272101,2,2632,uc021xav.1,0,ENSG00000114480,GBE1,"1,4-alpha-glucan branching enzyme 1",chr3:81810047-81810985
CD55,chr1,207494476,207495185,710,*,Promoter,1,207494817,207534311,39495,1,1604,uc001hfq.4,0,ENSG00000196352,CD55,CD55 molecule (Cromer blood group),chr1:207494475-207495185
MITF,chr3,69788353,69788715,363,*,Promoter,3,69788586,70017488,228903,1,4286,uc003dnz.3,0,ENSG00000187098,MITF,melanocyte inducing transcription factor,chr3:69788352-69788715
MITF,chr3,69915316,69915515,200,*,Promoter,3,69915375,70017488,102114,1,4286,uc003dob.3,0,ENSG00000187098,MITF,melanocyte inducing transcription factor,chr3:69915315-69915515
MITF,chr3,69985559,69985758,200,*,Promoter,3,69985751,69988216,2466,1,4286,uc021xal.1,0,ENSG00000187098,MITF,melanocyte inducing transcription factor,chr3:69985558-69985758
STK17B,chr2,197036085,197036471,387,*,Promoter,2,196998307,197036336,38030,2,9262,uc002utk.3,0,ENSG00000081320,STK17B,serine/threonine kinase 17b,chr2:197036084-197036471
WDR12,chr2,203776205,203776564,360,*,Promoter,2,203745323,203776949,31627,2,55759,uc002uzl.3,385,ENSG00000138442,WDR12,WD repeat domain 12,chr2:203776204-203776564
WDR12,chr2,203776768,203776967,200,*,Promoter,2,203745323,203776949,31627,2,55759,uc002uzl.3,0,ENSG00000138442,WDR12,WD repeat domain 12,chr2:203776767-203776967
ZCCHC24,chr10,81204152,81204447,296,*,Promoter,10,81142083,81203928,61846,2,219654,uc010qlr.2,-224,ENSG00000165424,ZCCHC24,zinc finger CCHC-type containing 24,chr10:81204151-81204447
ZCCHC24,chr10,81205401,81205940,540,*,Promoter,10,81142083,81205383,63301,2,219654,uc009xrw.3,-18,ENSG00000165424,ZCCHC24,zinc finger CCHC-type containing 24,chr10:81205400-81205940
TGFBR2,chr3,30647798,30648224,427,*,Promoter,3,30647994,30713929,65936,1,7048,uc021wut.1,0,ENSG00000163513,TGFBR2,transforming growth factor beta receptor 2,chr3:30647797-30648224
DSTYK,chr1,205144552,205144926,375,*,Promoter,1,205129134,205143643,14510,2,25778,uc001hby.1,-909,ENSG00000133059,DSTYK,dual serine/threonine and tyrosine protein kinase,chr1:205144551-205144926
DSTYK,chr1,205180377,205180958,582,*,Promoter,1,205111631,205180727,69097,2,25778,uc001hbw.3,0,ENSG00000133059,DSTYK,dual serine/threonine and tyrosine protein kinase,chr1:205180376-205180958
ERCC4,chr16,14013648,14014124,477,*,Promoter,16,14014014,14027104,13091,1,2072,uc010bva.3,0,ENSG00000175595,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",chr16:14013647-14014124
SVIL,chr10,29785359,29785575,217,*,Promoter,10,29769090,29785447,16358,2,6840,uc009xlc.2,0,ENSG00000197321,SVIL,supervillin,chr10:29785358-29785575
SVIL,chr10,29844725,29845385,661,*,Promoter,10,29746277,29844037,97761,2,6840,uc031ptq.1,-688,ENSG00000197321,SVIL,supervillin,chr10:29844724-29845385
SVIL,chr10,29924622,29924966,345,*,Promoter,10,29746277,29923901,177625,2,6840,uc001iut.1,-721,ENSG00000197321,SVIL,supervillin,chr10:29924621-29924966
